iter	Passed	Remaining
399	28495	42743
400	28561	42664
401	28628	42586
402	28708	42527
403	28795	42480
404	28877	42425
405	28950	42356
406	29036	42306
407	29124	42259
408	29213	42213
409	29301	42165
410	29394	42125
411	29503	42107
412	29589	42055
413	29673	42002
414	29762	41954
415	29838	41888
416	29914	41822
417	29986	41752
418	30074	41701
419	30159	41648
420	30240	41589
421	30321	41530
422	30389	41452
423	30472	41397
424	30567	41356
425	30654	41304
426	30755	41271
427	30846	41224
428	30922	41157
429	30985	41073
430	31058	41002
431	31124	40922
432	31191	40844
433	31262	40771
434	31369	40744
435	31472	40711
436	31555	40653
437	31651	40612
438	31752	40576
439	31856	40545
440	31948	40496
441	32050	40462
442	32154	40429
443	32233	40364
444	32318	40307
445	32386	40229
446	32442	40135
447	32500	40045
448	32561	39958
449	32624	39874
450	32695	39800
451	32747	39702
452	32798	39603
453	32881	39544
454	32966	39486
455	33043	39420
456	33139	39376
457	33216	39309
458	33295	39243
459	33373	39177
460	33457	39118
461	33531	39048
462	33599	38970
463	33662	38885
464	33719	38795
465	33769	38697
466	33815	38594
467	33856	38486
468	33899	38381
469	33953	38287
470	34010	38199
471	34073	38116
472	34159	38059
473	34233	37988
474	34320	37932
475	34397	37866
476	34491	37817
477	34577	37759
478	34672	37712
479	34758	37654
480	34866	37620
481	34966	37578
482	35064	37533
483	35164	37489
484	35261	37442
485	35344	37381
486	35423	37314
487	35495	37241
488	35577	37177
489	35668	37124
490	35759	37070
491	35845	37011
492	35925	36945
493	35998	36873
494	36066	36794
495	36139	36722
496	36211	36649
497	36297	36589
498	36388	36534
499	36489	36489
500	36568	36422
501	36636	36344
502	36715	36277
503	36783	36199
504	36858	36128
505	36928	36052
506	37012	35990
507	37083	35915
508	37161	35847
509	37248	35787
510	37361	35752
511	37464	35708
512	37575	35671
513	37654	35603
514	37748	35549
515	37835	35488
516	37926	35432
517	38017	35374
518	38118	35327
519	38211	35272
520	38317	35228
521	38410	35173
522	38512	35125
523	38618	35081
524	38715	35028
525	38793	34958
526	38872	34889
527	38947	34816
528	39015	34737
529	39073	34650
530	39143	34573
531	39198	34483
532	39242	34382
533	39282	34279
534	39325	34180
535	39372	34084
536	39412	33980
537	39458	33884
538	39506	33789
539	39557	33697
540	39602	33600
541	39645	33501
542	39682	33397
543	39726	33300
544	39777	33208
545	39831	33119
546	39894	33039
547	39971	32968
548	40052	32902
549	40138	32840
550	40220	32774
551	40301	32708
552	40406	32660
553	40487	32594
554	40569	32528
555	40662	32471
556	40752	32411
557	40824	32337
558	40880	32251
559	40932	32161
560	40974	32063
561	41014	31964
562	41057	31868
563	41098	31771
564	41139	31674
565	41182	31578
566	41224	31481
567	41267	31386
568	41312	31293
569	41373	31211
570	41434	31130
571	41513	31062
572	41563	30972
573	41613	30883
574	41670	30800
575	41726	30715
576	41777	30627
577	41849	30554
578	41923	30483
579	42009	30420
580	42096	30358
581	42179	30293
582	42275	30238
583	42359	30173
584	42444	30109
585	42527	30045
586	42619	29986
587	42699	29918
588	42778	29850
589	42852	29778
590	42923	29705
591	42989	29628
592	43051	29547
593	43112	29467
594	43163	29379
595	43213	29292
596	43265	29205
597	43318	29120
598	43377	29038
599	43437	28958
600	43491	28873
601	43544	28788
602	43589	28698
603	43641	28612
604	43697	28529
605	43764	28454
606	43841	28384
607	43946	28334
608	44039	28274
609	44168	28239
610	44271	28185
611	44381	28137
612	44471	28075
613	44559	28013
614	44626	27936
615	44704	27868
616	44792	27804
617	44871	27735
618	44958	27672
619	45045	27608
620	45121	27537
621	45204	27471
622	45272	27396
623	45330	27314
624	45388	27232
625	45467	27164
626	45538	27090
627	45620	27023
628	45699	26954
629	45794	26895
630	45871	26825
631	45951	26756
632	46024	26684
633	46102	26614
634	46184	26547
635	46266	26479
636	46340	26407
637	46410	26333
638	46487	26262
639	46555	26187
640	46617	26108
641	46694	26038
642	46768	25966
643	46846	25896
644	46922	25825
645	47001	25756
646	47082	25688
647	47157	25616
648	47226	25541
649	47300	25469
650	47374	25397
651	47459	25331
652	47551	25268
653	47629	25198
654	47720	25134
655	47818	25075
656	47919	25017
657	48020	24958
658	48110	24894
659	48206	24833
660	48298	24770
661	48382	24702
662	48478	24641
663	48592	24588
664	48702	24534
665	48819	24483
666	48930	24428
667	49020	24363
668	49095	24290
669	49171	24218
670	49257	24151
671	49322	24074
672	49398	24002
673	49473	23929
674	49548	23856
675	49626	23785
676	49708	23716
677	49788	23645
678	49884	23583
679	49966	23513
680	50051	23445
681	50130	23374
682	50217	23307
683	50317	23246
684	50406	23179
685	50487	23109
686	50596	23052
687	50707	22995
688	50813	22936
689	50925	22879
690	51027	22818
691	51112	22749
692	51209	22686
693	51310	22624
694	51437	22573
695	51533	22508
696	51635	22446
697	51735	22384
698	51844	22324
699	51945	22262
700	52031	22193
701	52118	22124
702	52214	22059
703	52305	21992
704	52396	21924
705	52491	21859
706	52599	21798
707	52682	21727
